REGION,PROVINCE,FEMALE,MALE,18-24,25-34,35-44,45-54,55-65,65+
NATIONAL CAPITAL REGION,NATIONAL CAPITAL REGION,3426657,2826592,1197022,1573513,1318182,1040565,713070,410897
CORDILLERA ADMINISTRATIVE REGION,ABRA,76539,80429,35427,37772,27911,23503,17720,14635
REGION 13,AGUSAN DEL NORTE,206753,205208,82670,104339,77706,66105,47233,33908
REGION 13,AGUSAN DEL SUR,183843,189657,75245,102054,72498,59537,38891,25275
REGION 6,AKLAN,173870,171489,91036,78983,61401,50167,35365,28407
REGION 5,ALBAY,385455,356749,152954,179113,142593,117458,83681,66405
REGION 6,ANTIQUE,162714,160147,82484,71714,58542,50218,33980,25923
CORDILLERA ADMINISTRATIVE REGION,APAYAO,31236,33631,11290,16669,13362,10717,7361,5468
REGION 3,AURORA,63200,63325,23556,32427,25363,20904,14268,10007
BARMM,BASILAN,85196,82404,50933,40806,30929,23435,13028,8469
REGION 3,BATAAN,257592,236484,91554,129376,100426,79179,56505,37036
REGION 2,BATANES,5648,5358,2381,2226,2248,1760,1193,1198
REGION 4-A,BATANGAS,793666,732529,373517,385885,300873,222483,148572,94865
CORDILLERA ADMINISTRATIVE REGION,BENGUET,182079,170212,59003,96959,69355,59568,41534,25872
REGION 8,BILIRAN,54973,53860,22906,25124,19734,17136,12244,11689
REGION 7,BOHOL,406704,392064,151432,185537,148124,127599,94696,91380
REGION 10,BUKIDNON,375776,390122,147351,209864,155110,121750,81861,49962
REGION 3,BULACAN,873622,766993,275539,407747,348912,287608,192214,128595
REGION 2,CAGAYAN,327554,319481,153542,149972,124130,104581,73083,41727
REGION 5,CAMARINES NORTE,157538,143352,56081,75832,59343,50775,34832,24027
REGION 5,CAMARINES SUR,517915,483955,198765,253205,194863,159040,113000,82997
REGION 10,CAMIGUIN,29397,28173,10751,13503,10612,9657,6736,6311
REGION 6,CAPIZ,232008,225374,117631,97960,81381,70684,50879,38847
REGION 5,CATANDUANES,86223,87749,39193,41753,30962,26071,18172,17821
REGION 4-A,CAVITE,1002173,840990,437502,476177,379659,280038,175083,94704
REGION 7,CEBU,1423453,1298835,517796,730412,542825,416008,294058,221189
REGION 11,DAVAO DE ORO,197499,211040,107375,101843,78879,62579,37632,20231
REGION 12,COTABATO,325157,343862,117941,181857,141109,111725,70832,45555
REGION 11,DAVAO DEL NORTE,263420,261922,107320,138083,107552,83406,58182,30799
REGION 11,DAVAO DEL SUR,651525,595837,286619,338290,246082,184392,126310,65669
REGION 11,DAVAO OCCIDENTAL,76933,81586,30104,43258,34067,25879,15818,9393
REGION 11,DAVAO ORIENTAL,155624,164318,85528,74570,61037,48962,31118,18727
REGION 13,DINAGAT ISLANDS,34831,34220,13231,15173,11845,11177,8607,9018
REGION 8,EASTERN SAMAR,146231,154587,66104,71208,54213,44491,31750,33052
REGION 6,GUIMARAS,53299,52246,26127,25082,19217,15984,11261,7874
CORDILLERA ADMINISTRATIVE REGION,IFUGAO,53999,58329,22607,31548,21329,16453,11424,8967
REGION 1,ILOCOS NORTE,191320,187466,64713,92834,74398,62312,44910,39619
REGION 1,ILOCOS SUR,205354,206597,71197,98416,80387,67790,50534,43627
REGION 6,ILOILO,691525,655989,325422,302403,246178,210646,150760,112105
REGION 2,ISABELA,458715,453195,204862,221760,179138,148007,99710,58433
CORDILLERA ADMINISTRATIVE REGION,KALINGA,59317,62058,25042,32918,22736,18125,12746,9808
REGION 1,LA UNION,230627,224151,81377,111792,87725,75109,56438,42337
REGION 4-A,LAGUNA,891472,783894,283603,442754,370328,274605,189468,114608
REGION 10,LANAO DEL NORTE,252202,237234,88932,130206,98041,79205,55227,37825
BARMM,LANAO DEL SUR,248310,236125,174763,115494,84347,57226,30939,21666
REGION 8,LEYTE,574065,577432,232506,276850,215081,181687,134473,110900
BARMM,MAGUINDANAO,250994,279799,157616,135378,104389,72053,37766,23591
REGION 4-B,MARINDUQUE,70970,65140,25922,28927,25412,22652,17968,15229
REGION 5,MASBATE,241052,236649,98665,116923,92981,74499,52052,42581
REGION 10,MISAMIS OCCIDENTAL,185793,179474,68242,83834,68114,61338,44631,39108
REGION 10,MISAMIS ORIENTAL,441313,421847,158292,222499,171913,140922,101278,68256
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,46838,51495,18681,27225,17555,14413,10482,9977
REGION 6,NEGROS OCCIDENTAL,851103,812389,396658,372272,313502,270691,188428,121941
REGION 7,NEGROS ORIENTAL,397487,388225,146002,194545,147987,129395,96483,71300
REGION 8,NORTHERN SAMAR,191787,194376,91384,94643,72408,55980,37579,34169
REGION 3,NUEVA ECIJA,670222,644436,228310,331525,272109,222558,149165,110991
REGION 2,NUEVA VIZCAYA,123325,123215,50532,62483,48380,39587,27977,17581
REGION 4-B,OCCIDENTAL MINDORO,125438,124296,47531,64921,52210,40470,26259,18343
REGION 4-B,ORIENTAL MINDORO,228755,216461,83540,113736,91752,72222,49931,34035
REGION 4-B,PALAWAN,289028,294029,115387,161572,120030,89095,58523,38450
REGION 3,PAMPANGA,668768,609492,219605,330143,268045,219123,144933,96411
REGION 1,PANGASINAN,870941,834319,322380,426691,334818,271816,194091,155464
REGION 4-A,QUEZON,581542,542548,205025,285435,225962,189617,133062,84989
REGION 2,QUIRINO,51503,52958,22985,26006,21045,16493,11328,6604
REGION 4-A,RIZAL,780006,670452,227044,383106,328873,249709,166675,95051
REGION 4-B,ROMBLON,89271,85938,34507,41106,31983,28849,20658,18106
REGION 8,SAMAR,239481,250940,113095,116178,91889,74183,49813,45263
REGION 12,SARANGANI,146319,153756,54313,86580,64026,46805,28372,19979
REGION 7,SIQUIJOR,34640,34348,12610,15617,12539,10890,8410,8922
REGION 5,SORSOGON,218045,206980,89073,98527,82245,69643,46870,38667
REGION 12,SOUTH COTABATO,373181,351144,128804,197822,154653,120881,77167,44998
REGION 8,SOUTHERN LEYTE,131481,129667,49018,57649,47237,43470,32478,31296
,SPECIAL PROVINCES,89154,82826,34554,47737,35005,26556,16835,11293
REGION 12,SULTAN KUDARAT,188201,204492,66560,108788,85267,66100,40200,25778
BARMM,SULU,170259,154284,101637,79644,62638,43388,23736,13500
REGION 13,SURIGAO DEL NORTE,161080,163973,66755,82107,62059,50038,34389,29705
REGION 13,SURIGAO DEL SUR,181019,186509,74832,92433,67951,57983,41580,32749
REGION 3,TARLAC,378713,360813,124825,188528,152057,125466,86841,61809
BARMM,TAWI-TAWI,89197,94682,60710,46067,33091,22296,13577,8138
REGION 3,ZAMBALES,243969,218763,82269,118968,91414,77285,54481,38315
REGION 9,ZAMBOANGA DEL NORTE,297561,307585,121201,147415,115952,99071,68011,53496
REGION 9,ZAMBOANGA DEL SUR,499035,476915,182766,256027,199048,159856,107882,70371
REGION 9,ZAMBOANGA SIBUGAY,171458,179241,72314,95117,68158,54438,35959,24713
